id,entity_type,name,aliases
ent_16cb9526,Person,Xi Jinping,"['President Xi', 'Chairman Xi', 'General Secretary Xi', 'Xi', 'Chinese President', ""China's Leader"", 'Core Leader', 'Mr. Xi', 'Communist Party Leader', 'China’s Paramount Leader']"
ent_dec4a5dc,Person,Li Qiang,"['Premier Li', 'Prime Minister Li', 'Li', 'Chinese Premier', 'Premier of the State Council', 'Mr. Li', 'China’s Premier', 'State Council Chief', 'China’s No. 2 Leader', 'Beijing’s Premier']"
ent_501ba505,Person,Zhao Leji,"['Chairman Zhao', 'Zhao', 'NPC Chairman', 'Mr. Zhao', 'China’s Legislative Leader', 'Standing Committee Head', 'Top Legislator', 'Beijing’s NPC Chief', 'Zhao of the NPC', 'China’s Parliamentary Leader']"
ent_9259c32c,Person,Wang Yi,"['Foreign Minister Wang', 'Minister Wang', 'China’s Top Diplomat', 'State Councilor Wang', 'Mr. Wang', 'Wang', 'China’s Foreign Policy Chief', 'Beijing’s Diplomat', 'China’s Senior Diplomat', 'Foreign Affairs Minister']"
ent_c91f055e,Person,He Lifeng,"['Vice Premier He', 'He', 'Mr. He', 'China’s Vice Premier', 'Economic Planner', 'Beijing’s Economic Chief', 'He of the State Council', 'China’s Development Chief', 'Vice Premier for Economy', 'NDRC Head']"
ent_1d9356e3,Company,Alibaba Group,"['Alibaba', 'BABA', 'Chinese E-commerce Giant', 'The Alibaba Group', 'Jack Ma’s Company', 'Chinese Tech Giant', 'Hangzhou Tech Firm', 'Ali Group', 'China’s Online Retail Leader', 'Taobao’s Parent Company']"
ent_7db37ef8,Company,Tencent Holdings,"['Tencent', 'Chinese Social Media Giant', 'WeChat Parent Company', 'Pony Ma’s Company', 'China’s Tech Conglomerate', 'Chinese Gaming Giant', 'Tencent Group', 'Shenzhen Tech Firm', 'China’s Internet Leader', 'QQ’s Parent Company']"
ent_cfc915ad,Company,China National Petroleum Corporation,"['CNPC', 'PetroChina Parent', 'China’s Oil Giant', 'National Oil Company', 'Beijing’s Energy Firm', 'China’s Petroleum Leader', 'CNPC Group', 'Chinese Energy Conglomerate', 'State Oil Company', 'China’s Fossil Fuel Leader']"
ent_acb5c18b,Company,Huawei Technologies,"['Huawei', 'Chinese Telecom Giant', 'Ren Zhengfei’s Company', 'Chinese Smartphone Maker', 'Huawei Tech', 'China’s Tech Firm', 'Shenzhen Tech Giant', '5G Leader', 'Chinese Network Provider', 'Huawei Group']"
ent_32f3a636,Company,China State Construction Engineering Corporation,"['CSCEC', 'China State Construction', 'Beijing Construction Giant', 'Chinese Building Leader', 'State Construction Firm', 'China’s Infrastructure Leader', 'CSCEC Group', 'National Construction Company', 'China’s Building Titan', 'State-Owned Builder']"
ent_16c88b5a,Location,Beijing,"['Chinese Capital', 'China’s Capital City', 'Capital of the PRC', 'Northern Capital', 'The Imperial City', 'Peking', 'Dragon Capital', 'China’s Political Hub', 'Beijing Municipality', 'The Forbidden City’s Home']"
ent_e9a2bf28,Location,Shanghai,"['China’s Financial Hub', 'Chinese Financial Center', 'Pearl of the Orient', 'China’s Largest City', 'Paris of the East', 'The Bund City', 'Shanghai Metropolis', 'China’s Economic Powerhouse', 'Eastern Metropolis', 'Yangtze Delta Hub']"
ent_6ea67ea6,Location,Hong Kong,"['Hong Kong SAR', 'HKSAR', 'HK', 'Pearl of the Orient', 'Asia’s World City', 'Chinese Special Administrative Region', 'Hong Kong City', 'China’s Global Hub', 'Fragrant Harbor', 'Southern Trade Hub']"
ent_c037580e,Location,Xinjiang Uygur Autonomous Region,"['Xinjiang', 'Uygur Region', 'Western China Region', 'China’s Northwest Frontier', 'Silk Road Region', 'Xinjiang Region', 'Uighur Autonomous Area', 'China’s Western Territory', 'New Frontier', 'Central Asia Gateway']"
ent_25448dc8,Location,Tibet Autonomous Region,"['Tibet', 'Xizang', 'Roof of the World', 'Tibetan Plateau', 'China’s Southwestern Region', 'Lhasa Region', 'Tibet Region', 'Himalayan Territory', 'China’s Spiritual Land', 'Autonomous Tibet']"
ent_93a28768,Person,Donald Trump,"['President Trump', 'The 45th and 47th President', 'Mr. Trump', 'Trump', 'America’s Leader', 'The Republican President', 'The Former Reality TV Star', 'The MAGA Leader', 'U.S. President', 'The White House Chief']"
ent_aa951e6b,Person,JD Vance,"['Vice President Vance', 'VP Vance', 'Mr. Vance', 'Vance', 'The Vice President', 'Former Senator Vance', 'America’s Second-in-Command', 'The Republican VP', ""Ohio's Former Senator"", 'Author of Hillbilly Elegy']"
ent_73eab2e0,Person,Mike Johnson,"['Speaker Johnson', 'House Speaker', 'Mr. Johnson', 'Johnson', 'Louisiana Representative', 'The Republican Speaker', 'Leader of the House', 'Speaker of the House', 'Congressional Leader', 'U.S. House Chief']"
ent_c72cd6cd,Person,Antony Blinken,"['Secretary Blinken', 'America’s Top Diplomat', 'Mr. Blinken', 'Blinken', 'Secretary of State', 'U.S. Foreign Policy Chief', 'The Diplomat', 'State Department Head', 'Foreign Affairs Secretary', 'The Secretary']"
ent_a3e9851a,Person,Janet Yellen,"['Secretary Yellen', 'Treasury Secretary', 'Ms. Yellen', 'Yellen', 'America’s Financial Chief', 'The Treasury Chief', 'Former Fed Chair', 'U.S. Economic Leader', 'The Finance Secretary', 'Economic Policy Head']"
ent_b6ad5a50,Company,Apple Inc.,"['Apple', 'The Tech Giant', 'iPhone Maker', 'Cupertino-based Company', 'The California Tech Firm', 'AAPL', 'Tim Cook’s Company', 'Silicon Valley Giant', 'The Mac Maker', 'Apple Company']"
ent_25286cde,Company,Microsoft Corporation,"['Microsoft', 'The Software Giant', 'Redmond-based Company', 'MSFT', 'Windows Maker', 'Satya Nadella’s Company', 'The Tech Titan', 'Seattle Tech Firm', 'The Cloud Leader', 'Microsoft Group']"
ent_acafef75,Company,"Amazon.com, Inc.","['Amazon', 'The E-commerce Giant', 'Seattle-based Company', 'AMZN', 'Jeff Bezos’ Company', 'The Online Retailer', 'AWS Parent Company', 'The Retail Titan', 'America’s Online Marketplace', 'The Everything Store']"
